a,b,c,n,v
2018-01-27,2018-01-28,2018-01-24,ch,133.6
2017-12-28,2017-12-29,2017-12-05,ch,133.6
2017-12-28,2017-12-29,2017-12-19,gb,133.6
2018-10-12,2018-10-13,2018-10-11,us,133.7
2018-04-13,2018-04-14,2018-04-11,fr,133.8
2018-01-22,2018-01-23,2018-01-22,ch,134
2018-02-20,2018-02-21,2018-01-27,tw,134
2018-02-03,2018-02-04,2018-02-03,ch,134
2018-05-07,2018-05-08,2018-05-04,ch,134.3
2018-09-15,2018-09-16,2018-06-13,de,134.3
2018-03-19,2018-03-20,2018-03-18,null,134.3
2018-11-23,2018-11-24,2018-09-30,fr,134.3
2018-11-12,2018-11-13,2018-11-02,ch,134.3
2018-02-15,2018-02-16,2018-02-15,ch,134.3
2019-01-07,2019-01-08,2019-01-07,de,134.3
2018-07-16,2018-07-17,2018-07-16,es,134.3
2018-05-11,2018-05-12,2017-12-22,ch,134.3
2018-05-07,2018-05-08,2018-05-03,ch,134.3
2018-11-12,2018-11-13,2018-11-02,ch,134.3
2018-05-07,2018-05-08,2018-05-04,ch,134.3
2018-11-12,2018-11-13,2018-11-02,ch,134.3
2018-11-21,2018-11-22,2018-11-08,de,134.3
2018-11-22,2018-11-23,2018-11-14,it,134.3
2018-11-20,2018-11-21,2018-11-20,ch,134.3
2018-12-03,2018-12-04,2018-11-28,ch,134.3
2018-11-12,2018-11-13,2018-11-02,ch,134.3
2018-05-12,2018-05-13,2018-05-09,ch,134.3
2018-08-15,2018-08-16,2018-08-15,ch,134.3
2018-11-23,2018-11-24,2018-09-30,fr,134.3
2018-02-03,2018-02-04,2018-01-16,ch,134.6
2018-04-07,2018-04-08,2018-04-07,gf,134.6
2019-01-01,2019-01-02,2018-12-31,au,134.6
2018-02-01,2018-02-02,2018-01-31,de,134.6
2018-01-19,2018-01-20,2018-01-18,ch,134.6
2018-02-09,2018-02-10,2018-02-08,gf,134.6
2018-01-06,2018-01-07,2018-01-01,ch,134.6
2018-02-02,2018-02-03,2018-02-01,de,134.6
2018-12-29,2018-12-30,2018-10-18,us,134.6
2017-12-27,2017-12-28,2017-12-26,us,134.6
2018-04-16,2018-04-17,2018-04-16,de,134.7
2018-01-03,2018-01-04,2018-01-02,it,134.8
2018-01-05,2018-01-06,2018-01-03,ch,134.8
2018-04-13,2018-04-14,2018-04-09,ch,134.9
2018-04-05,2018-04-06,2018-04-04,ch,135
2018-11-29,2018-11-30,2017-10-26,ch,135
2018-05-10,2018-05-11,2018-05-10,ch,135
2017-12-15,2017-12-16,2017-12-15,de,135
2018-05-10,2018-05-11,2018-05-06,ch,135
2017-12-15,2017-12-16,2017-12-13,ch,135
2018-05-30,2018-05-31,2018-04-01,gf,135.3
2018-08-28,2018-08-29,2018-05-22,gf,135.3
2018-12-18,2018-12-19,2018-05-22,gf,135.3
2018-09-25,2018-09-26,2018-09-04,gf,135.3
2018-11-04,2018-11-05,2018-10-28,ch,135.3
2018-11-09,2018-11-10,2018-11-05,ch,135.3
2018-11-21,2018-11-22,2018-11-21,ch,135.3
2018-04-17,2018-04-18,2018-03-02,ch,135.3
2018-11-13,2018-11-14,2018-05-22,gf,135.3
2018-04-03,2018-04-04,2018-03-27,gf,135.3
2018-12-11,2018-12-12,2018-10-18,gf,135.3
2018-11-01,2018-11-02,2018-10-28,au,135.3
2018-12-07,2018-12-08,2018-08-15,null,135.3
2018-06-20,2018-06-21,2018-05-29,null,135.3
2018-01-31,2018-02-01,2018-01-04,gf,135.3
2018-09-19,2018-09-20,2018-05-30,de,135.3
2018-04-09,2018-04-10,2018-04-05,gf,135.3
2018-06-06,2018-06-07,2018-04-27,ch,135.3
2018-06-11,2018-06-12,2018-04-17,ch,135.3
2018-01-22,2018-01-23,2018-01-22,gf,135.3
2018-10-12,2018-10-13,2018-04-26,gf,135.3
2018-10-04,2018-10-05,2018-10-04,de,135.3
2018-06-19,2018-06-20,2018-05-22,gf,135.3
2018-10-09,2018-10-10,2018-05-22,gf,135.3
2018-06-26,2018-06-27,2018-05-19,gf,135.3
2018-10-02,2018-10-03,2018-09-26,gf,135.3
2018-05-27,2018-05-28,2018-05-18,ru,135.3
2018-08-20,2018-08-21,2018-08-20,ch,135.3
2018-01-07,2018-01-08,2018-01-04,fr,135.3
2018-09-27,2018-09-28,2018-09-04,ch,135.3
2018-04-05,2018-04-06,2018-04-03,gf,135.3
2018-09-10,2018-09-11,2018-09-10,ch,135.3
2018-12-16,2018-12-17,2018-11-28,dk,135.3
2018-04-25,2018-04-26,2018-03-19,ch,135.3
2019-01-09,2019-01-10,2018-12-21,ch,135.3
2018-05-16,2018-05-17,2018-05-02,gf,135.3
2018-09-04,2018-09-05,2018-05-22,gf,135.3
2018-05-22,2018-05-23,2018-04-25,gf,135.3
2018-09-11,2018-09-12,2018-09-04,gf,135.3
2018-05-16,2018-05-17,2018-05-15,ch,135.3
2018-12-13,2018-12-14,2018-11-22,de,135.3
2018-08-13,2018-08-14,2018-08-03,ch,135.3
2018-11-18,2018-11-19,2018-11-15,ch,135.3
2018-10-30,2018-10-31,2018-08-29,ch,135.3
2018-04-06,2018-04-07,2018-03-13,ch,135.3
2018-09-13,2018-09-14,2018-07-30,no,135.3
2018-08-02,2018-08-03,2018-05-22,gf,135.3
2018-11-20,2018-11-21,2018-05-22,gf,135.3
2018-04-10,2018-04-11,2018-03-27,gf,135.3
2018-08-04,2018-08-05,2018-07-31,ch,135.3
2018-08-06,2018-08-07,2018-08-06,ch,135.3
2018-04-03,2018-04-04,2018-03-20,de,135.3
2018-06-27,2018-06-28,2018-04-27,ch,135.3
2018-12-05,2018-12-06,2018-12-05,ch,135.3
2018-06-14,2018-06-15,2018-06-11,ch,135.3
2018-06-26,2018-06-27,2018-05-22,gf,135.3
2018-03-11,2018-03-12,2018-02-02,gf,135.3
2018-03-18,2018-03-19,2018-02-03,fr,135.3
2018-11-13,2018-11-14,2018-10-18,gf,135.3
2018-04-11,2018-04-12,2018-03-14,gf,135.3
2018-08-08,2018-08-09,2018-08-07,ch,135.3
2018-04-11,2018-04-12,2018-03-20,gf,135.3
2018-01-10,2018-01-11,2018-01-04,fr,135.3
2018-04-09,2018-04-10,2018-03-28,gf,135.3
2018-04-16,2018-04-17,2018-03-19,ch,135.3
2018-11-13,2018-11-14,2018-09-30,ch,135.3
2018-05-16,2018-05-17,2018-05-12,gf,135.3
2018-01-24,2018-01-25,2018-01-23,gf,135.3
2018-06-13,2018-06-14,2018-05-22,gf,135.3
2018-09-11,2018-09-12,2018-05-22,gf,135.3
2018-05-29,2018-05-30,2018-04-25,gf,135.3
2018-02-06,2018-02-07,2018-02-05,ch,135.3
2018-01-11,2018-01-12,2017-12-19,gf,135.3
2018-05-22,2018-05-23,2018-05-15,ch,135.3
2018-09-03,2018-09-04,2018-09-02,ch,135.3
2018-07-11,2018-07-12,2018-05-09,de,135.3
2018-09-03,2018-09-04,2018-08-28,ch,135.3
2018-04-05,2018-04-06,2018-04-05,ch,135.3
2018-10-10,2018-10-11,2018-09-06,ch,135.3
2018-09-13,2018-09-14,2018-07-30,no,135.3
2018-04-20,2018-04-21,2018-04-20,gf,135.3
2018-08-07,2018-08-08,2018-05-22,gf,135.3
2018-11-27,2018-11-28,2018-05-22,gf,135.3
2018-04-17,2018-04-18,2018-03-27,gf,135.3
2018-07-30,2018-07-31,2018-07-18,gf,135.3
2018-07-07,2018-07-08,2018-07-07,de,135.3
2018-04-03,2018-04-04,2018-03-20,gf,135.3
2018-03-22,2018-03-23,2018-03-05,de,135.3
2018-11-11,2018-11-12,2018-11-10,ch,135.3
2018-03-27,2018-03-28,2018-03-27,ch,135.3
2018-05-23,2018-05-24,2018-03-27,gf,135.3
2018-06-21,2018-06-22,2018-06-17,ch,135.3
2018-11-26,2018-11-27,2018-11-23,cz,135.3
2018-04-04,2018-04-05,2018-04-04,us,135.3
2018-02-13,2018-02-14,2018-02-12,ch,135.3
2018-04-25,2018-04-26,2018-04-19,gf,135.3
2018-08-15,2018-08-16,2018-07-11,gf,135.3
2018-10-23,2018-10-24,2018-05-22,gf,135.3
2018-05-29,2018-05-30,2018-05-03,gf,135.3
2018-11-20,2018-11-21,2018-10-18,gf,135.3
2018-03-19,2018-03-20,2018-03-18,ch,135.3
2018-08-20,2018-08-21,2018-08-19,gf,135.3
2018-11-18,2018-11-19,2018-11-16,tr,135.3
2018-09-21,2018-09-22,2018-09-07,ch,135.3
2018-05-25,2018-05-26,2018-04-03,ch,135.3
2018-02-20,2018-02-21,2018-02-12,fr,135.3
2018-05-02,2018-05-03,2018-04-02,ch,135.3
2018-03-21,2018-03-22,2018-02-21,gf,135.3
2018-03-01,2018-03-02,2018-02-23,ch,135.3
2018-07-16,2018-07-17,2018-07-15,us,135.3
2018-09-18,2018-09-19,2018-05-22,gf,135.3
2018-03-15,2018-03-16,2018-03-15,gf,135.3
2018-08-06,2018-08-07,2018-08-05,fr,135.3
2018-11-28,2018-11-29,2018-11-21,ch,135.3
2018-03-04,2018-03-05,2018-02-07,ch,135.3
2018-09-10,2018-09-11,2018-09-04,ch,135.3
2018-10-24,2018-10-25,2018-09-06,ch,135.3
2018-02-07,2018-02-08,2018-01-11,ch,135.3
2018-05-10,2018-05-11,2018-04-09,gf,135.3
2018-04-22,2018-04-23,2018-02-22,gf,135.3
2018-04-26,2018-04-27,2018-04-23,gf,135.3
2018-07-16,2018-07-17,2018-07-14,us,135.3
2018-08-14,2018-08-15,2018-05-22,gf,135.3
2018-12-04,2018-12-05,2018-05-22,gf,135.3
2018-04-24,2018-04-25,2018-03-27,gf,135.3
2018-09-04,2018-09-05,2018-08-16,gf,135.3
2018-02-28,2018-03-01,2018-02-05,gf,135.3
2018-11-01,2018-11-02,2018-10-27,ch,135.3
2018-11-01,2018-11-02,2018-10-31,at,135.3
2018-03-22,2018-03-23,2018-03-19,gf,135.3
2018-05-27,2018-05-28,2018-05-14,at,135.3
2018-09-23,2018-09-24,2017-12-27,ch,135.3
2018-09-03,2018-09-04,2018-08-30,ch,135.3
2018-11-28,2018-11-29,2018-11-26,ch,135.3
2018-09-05,2018-09-06,2018-07-24,ch,135.3
2018-02-23,2018-02-24,2018-01-15,ch,135.3
2018-05-02,2018-05-03,2018-04-30,ch,135.3
2018-06-29,2018-06-30,2018-03-07,us,135.3
2018-07-10,2018-07-11,2018-05-22,gf,135.3
2018-10-30,2018-10-31,2018-05-22,gf,135.3
2017-12-18,2017-12-19,2017-12-12,ch,135.3
2018-03-20,2018-03-21,2018-03-14,gf,135.3
2018-03-22,2018-03-23,2018-02-04,gf,135.3
2018-07-17,2018-07-18,2018-06-18,gf,135.3
2017-12-20,2017-12-21,2017-12-14,ch,135.3
2018-11-18,2018-11-19,2018-11-16,tr,135.3
2018-06-11,2018-06-12,2018-02-13,de,135.3
2018-05-10,2018-05-11,2018-04-02,ch,135.3
2018-12-07,2018-12-08,2018-12-07,ch,135.3
2018-12-12,2018-12-13,2018-11-29,de,135.3
2018-07-16,2018-07-17,2018-07-10,de,135.3
2018-06-03,2018-06-04,2018-04-26,gf,135.3
2018-06-05,2018-06-06,2018-05-22,gf,135.3
2018-09-25,2018-09-26,2018-05-22,gf,135.3
2018-07-30,2018-07-31,2018-06-25,null,135.3
2018-06-12,2018-06-13,2018-05-19,gf,135.3
2018-01-08,2018-01-09,2017-11-08,ch,135.3
2018-02-08,2018-02-09,2018-02-09,gf,135.3
2018-05-07,2018-05-08,2018-04-30,ch,135.3
2018-12-01,2018-12-02,2018-11-28,fr,135.3
2018-10-31,2018-11-01,2018-09-06,ch,135.3
2017-12-21,2017-12-22,2017-11-08,ch,135.3
2018-06-24,2018-06-25,2018-06-24,ch,135.3
2018-03-05,2018-03-06,2018-02-26,gf,135.3
2019-01-08,2019-01-09,2019-01-05,ch,135.3
2018-08-21,2018-08-22,2018-05-22,gf,135.3
2018-12-11,2018-12-12,2018-05-22,gf,135.3
2018-08-05,2018-08-06,2018-07-25,gf,135.3
2018-05-08,2018-05-09,2018-04-25,gf,135.3
2018-06-03,2018-06-04,2018-02-05,gf,135.3
2018-05-16,2018-05-17,2018-05-09,gf,135.3
2018-03-28,2018-03-29,2018-03-15,ch,135.3
2018-11-05,2018-11-06,2018-10-31,gf,135.3
2018-03-20,2018-03-21,2017-12-22,de,135.3
2018-09-30,2018-10-01,2017-12-27,ch,135.3
2018-03-26,2018-03-27,2018-03-26,gf,135.3
2018-09-03,2018-09-04,2018-08-20,ch,135.3
2018-09-12,2018-09-13,2018-08-23,de,135.3
2018-09-19,2018-09-20,2018-07-24,ch,135.3
2018-01-22,2018-01-23,2018-01-09,nl,135.3
2018-11-08,2018-11-09,2018-10-22,gf,135.3
2019-01-09,2019-01-10,2019-01-08,ch,135.3
2018-04-26,2018-04-27,2018-02-22,si,135.3
2018-11-06,2018-11-07,2018-05-22,gf,135.3
2018-05-24,2018-05-25,2018-05-04,gf,135.3
2018-03-27,2018-03-28,2018-03-14,gf,135.3
2018-07-10,2018-07-11,2018-06-18,gf,135.3
2018-12-04,2018-12-05,2018-10-18,gf,135.3
2018-01-09,2018-01-10,2017-12-20,ca,135.3
2018-01-03,2018-01-04,2017-12-28,fr,135.3
2018-10-15,2018-10-16,2018-09-29,it,135.3
2018-04-29,2018-04-30,2018-04-05,null,135.3
2018-02-23,2018-02-24,2018-01-15,ch,135.3
2018-12-21,2018-12-22,2018-12-21,ch,135.3
2019-01-08,2019-01-09,2019-01-02,ch,135.3
2018-05-29,2018-05-30,2018-05-22,gf,135.3
2018-10-02,2018-10-03,2018-05-22,gf,135.3
2018-10-30,2018-10-31,2018-09-24,gf,135.3
2018-10-31,2018-11-01,2018-10-31,ch,135.3
2018-09-25,2018-09-26,2018-09-04,ch,135.3
2018-02-08,2018-02-09,2018-02-09,gf,135.3
2018-07-26,2018-07-27,2018-06-08,ch,135.3
2018-04-04,2018-04-05,2018-04-04,ch,135.3
2018-11-07,2018-11-08,2018-09-30,ch,135.3
2017-12-21,2017-12-22,2017-11-08,ch,135.3
2018-12-15,2018-12-16,2018-12-10,ch,135.3
2018-09-22,2018-09-23,2018-09-18,ch,135.3
2018-03-05,2018-03-06,2018-03-04,gf,135.45
2018-07-22,2018-07-23,2018-07-22,de,135.6
2018-01-20,2018-01-21,2017-12-28,ch,135.6
2018-12-06,2018-12-07,2018-12-05,us,135.6
2018-02-18,2018-02-19,2018-02-18,gf,135.6
2018-07-20,2018-07-21,2018-07-01,de,135.6
2018-07-20,2018-07-21,2018-07-20,es,135.6
2018-09-16,2018-09-17,2018-08-26,at,135.6
2018-07-07,2018-07-08,2018-07-05,lu,135.6
2018-12-23,2018-12-24,2018-11-12,br,135.6
2018-12-19,2018-12-20,2018-12-06,dk,135.6
2018-12-21,2018-12-22,2018-12-21,ch,135.6
2017-12-20,2017-12-21,2017-12-16,ch,135.6
2018-11-24,2018-11-25,2018-10-30,cz,135.6
2018-11-16,2018-11-17,2018-11-16,ch,135.6
2019-01-04,2019-01-05,2019-01-04,ru,135.6
2018-08-26,2018-08-27,2018-08-26,co,135.6
2019-01-07,2019-01-08,2018-12-13,gb,135.6
2018-12-16,2018-12-17,2018-12-16,gb,135.6
2018-01-20,2018-01-21,2017-12-28,ru,135.6
2018-04-20,2018-04-21,2018-03-31,ch,135.6
2018-06-08,2018-06-09,2018-06-07,de,135.6
2018-07-23,2018-07-24,2018-07-23,il,135.6
2018-09-23,2018-09-24,2018-08-17,au,135.6
2018-09-16,2018-09-17,2018-09-16,br,135.6
2018-12-26,2018-12-27,2018-12-15,cn,135.6
2019-01-05,2019-01-06,2018-12-29,gb,135.6
2019-01-03,2019-01-04,2019-01-02,de,135.6
2018-08-02,2018-08-03,2018-07-29,nl,135.6
2018-09-08,2018-09-09,2018-04-09,gb,135.6
2018-11-11,2018-11-12,2018-09-10,kr,135.6
2018-06-24,2018-06-25,2018-06-22,kr,135.6
2018-07-23,2018-07-24,2018-07-23,ch,135.6
2018-04-08,2018-04-09,2018-03-09,nl,135.6
2018-11-17,2018-11-18,2018-11-17,th,135.6
2019-01-10,2019-01-11,2018-12-17,ch,135.6
2018-12-08,2018-12-09,2018-06-27,it,135.6
2018-12-21,2018-12-22,2018-12-21,ch,135.6
2018-12-28,2018-12-29,2018-12-28,fr,135.6
2019-01-02,2019-01-03,2019-01-01,ch,135.6
2018-11-18,2018-11-19,2018-10-17,kr,135.6
2018-10-28,2018-10-29,2018-10-28,pl,135.6
2018-07-26,2018-07-27,2018-07-25,ch,135.6
2018-12-21,2018-12-22,2018-12-20,my,135.6
2019-01-10,2019-01-11,2018-12-17,ch,135.6
2018-06-30,2018-07-01,2018-06-30,it,135.6
2018-07-16,2018-07-17,2018-07-16,nl,135.6
2018-07-30,2018-07-31,2018-07-28,ch,135.6
2018-08-04,2018-08-05,2018-08-01,no,135.6
2018-08-01,2018-08-02,2018-08-01,kr,135.6
2018-08-14,2018-08-15,2018-08-06,ch,135.6
2018-11-18,2018-11-19,2018-11-13,ch,135.6
2018-08-19,2018-08-20,2018-08-19,ch,135.6
2018-11-24,2018-11-25,2018-10-31,au,135.6
2019-01-04,2019-01-05,2018-11-17,us,135.6
2018-06-24,2018-06-25,2018-06-24,de,135.6
2018-08-03,2018-08-04,2018-07-05,tw,135.6
2018-10-14,2018-10-15,2018-08-13,cn,135.7
2018-09-07,2018-09-08,2018-02-26,cn,135.7
2018-09-07,2018-09-08,2018-02-26,cn,135.7
2018-09-07,2018-09-08,2018-02-26,cn,135.7
2018-11-30,2018-12-01,2017-10-26,ch,135.8
2018-05-27,2018-05-28,2018-05-24,ch,135.8
2018-05-27,2018-05-28,2018-05-27,ch,135.8
2018-05-13,2018-05-14,2018-04-21,us,135.85
2018-11-10,2018-11-11,2018-11-08,de,136
2018-01-17,2018-01-18,2018-01-17,lk,136
2018-05-08,2018-05-09,2018-05-02,ch,136.3
2018-05-17,2018-05-18,2018-05-04,ch,136.3
2018-05-14,2018-05-15,2018-05-14,ch,136.3
2018-02-07,2018-02-08,2018-01-29,ch,136.3
2018-06-02,2018-06-03,2018-05-29,de,136.3
2018-05-14,2018-05-15,2018-05-14,ch,136.3
2018-02-07,2018-02-08,2018-01-29,ch,136.3
2018-03-12,2018-03-13,2018-02-11,it,136.3
2018-11-20,2018-11-21,2018-11-20,ch,136.3
2018-06-08,2018-06-09,2018-06-04,ch,136.3
2018-10-26,2018-10-27,2018-10-24,ch,136.3
2018-01-24,2018-01-25,2018-01-18,gb,136.3
2018-02-15,2018-02-16,2018-01-19,ch,136.3
2018-09-29,2018-09-30,2018-09-29,ch,136.3
2018-06-21,2018-06-22,2018-06-18,it,136.3
2018-01-24,2018-01-25,2018-01-18,ch,136.3
2018-05-08,2018-05-09,2018-05-02,ch,136.3
2018-03-27,2018-03-28,2018-03-27,gf,136.3
2018-03-27,2018-03-28,2018-03-21,ch,136.3
2018-09-29,2018-09-30,2018-09-29,ch,136.3
2018-05-08,2018-05-09,2018-05-08,it,136.3
2018-08-25,2018-08-26,2018-08-25,ch,136.3
2018-01-24,2018-01-25,2018-01-18,ch,136.3
2018-04-28,2018-04-29,2018-04-28,ch,136.3
2018-03-12,2018-03-13,2018-02-13,de,136.3
2018-01-24,2018-01-25,2018-01-18,ch,136.3
2017-12-30,2017-12-31,2017-12-10,ch,136.6
2018-03-31,2018-04-01,2018-03-17,at,136.6
2018-06-22,2018-06-23,2018-06-22,ch,136.6
2018-08-15,2018-08-16,2018-04-24,kr,136.6
2017-12-27,2017-12-28,2017-12-09,ch,136.6
2018-03-11,2018-03-12,2017-11-29,my,136.6
2017-12-27,2017-12-28,2017-12-10,my,136.6
2018-09-05,2018-09-06,2018-03-27,us,136.6
2018-01-08,2018-01-09,2017-12-05,cn,136.6
2018-12-03,2018-12-04,2018-11-28,ch,136.6
2017-12-22,2017-12-23,2017-11-29,gb,136.6
2017-12-15,2017-12-16,2017-11-29,de,136.6
2018-06-13,2018-06-14,2017-11-29,ch,136.6
2018-03-02,2018-03-03,2018-03-02,de,136.6
2017-12-21,2017-12-22,2017-12-19,ch,136.6
2018-08-14,2018-08-15,2018-03-24,us,136.6
2017-12-22,2017-12-23,2017-11-29,gb,136.6
2018-04-09,2018-04-10,2018-03-18,ch,136.6
2018-08-21,2018-08-22,2018-03-17,us,136.6
2018-06-12,2018-06-13,2018-01-06,tw,136.6
2018-04-29,2018-04-30,2018-04-29,ch,136.6
2018-08-18,2018-08-19,2018-06-07,es,136.6
2017-12-27,2017-12-28,2017-12-10,my,136.6
2018-03-30,2018-03-31,2017-11-29,es,136.6
2018-05-22,2018-05-23,2018-05-19,nl,136.7
2018-02-06,2018-02-07,2018-02-04,gf,136.8
2018-04-02,2018-04-03,2018-03-31,ch,136.8
2018-04-13,2018-04-14,2018-04-13,ch,136.8
2018-06-21,2018-06-22,2018-06-20,ch,136.8
2018-04-14,2018-04-15,2018-04-13,gf,136.9
2018-10-04,2018-10-05,2018-10-04,jp,137
2018-02-01,2018-02-02,2018-02-01,gf,137
2018-02-12,2018-02-13,2017-12-31,ch,137
2018-03-19,2018-03-20,2018-03-19,gf,137.3
2018-05-26,2018-05-27,2018-05-17,de,137.3
2018-09-03,2018-09-04,2018-09-03,gb,137.3
2018-06-12,2018-06-13,2018-03-11,ch,137.3
2018-12-15,2018-12-16,2018-12-01,gf,137.3
2017-12-28,2017-12-29,2017-12-03,null,137.3
2018-03-19,2018-03-20,2018-03-19,gf,137.3
2018-03-23,2018-03-24,2018-03-22,ch,137.3
2018-07-12,2018-07-13,2018-07-11,it,137.3
2018-03-26,2018-03-27,2018-03-13,gf,137.3
2018-10-14,2018-10-15,2018-10-11,ch,137.3
2018-11-19,2018-11-20,2018-11-14,null,137.3
2018-02-15,2018-02-16,2018-02-15,gf,137.3
2018-11-03,2018-11-04,2018-11-03,ch,137.3
2018-08-15,2018-08-16,2018-08-15,ch,137.3
2018-11-19,2018-11-20,2018-11-13,de,137.3
2018-01-17,2018-01-18,2018-01-10,ch,137.3
2018-07-16,2018-07-17,2018-07-16,ch,137.3
2018-06-12,2018-06-13,2018-03-11,ch,137.3
2018-11-19,2018-11-20,2018-11-14,null,137.3
2018-11-19,2018-11-20,2018-11-14,null,137.3
2018-12-10,2018-12-11,2018-12-10,ru,137.3
2018-08-17,2018-08-18,2018-08-11,ch,137.3
2018-11-19,2018-11-20,2018-11-13,de,137.3
2018-11-21,2018-11-22,2018-11-21,gf,137.3
2018-11-01,2018-11-02,2018-11-01,ch,137.3
2018-11-19,2018-11-20,2018-11-14,null,137.3
2018-02-15,2018-02-16,2018-02-15,gf,137.3
2018-01-09,2018-01-10,2018-01-04,de,137.3
2018-11-26,2018-11-27,2018-11-26,gf,137.5
2018-03-02,2018-03-03,2018-02-23,ch,137.6
2018-07-14,2018-07-15,2018-07-09,ch,137.6
2018-01-13,2018-01-14,2017-11-29,hk,137.6
2018-04-13,2018-04-14,2018-04-11,ch,137.6
2018-03-03,2018-03-04,2018-02-27,ch,137.6
2018-01-27,2018-01-28,2018-01-21,ch,137.6
2018-01-27,2018-01-28,2018-01-22,ch,137.6
2018-01-13,2018-01-14,2017-11-29,hk,137.6
2018-01-26,2018-01-27,2018-01-21,ch,137.6
2018-01-28,2018-01-29,2018-01-27,gb,137.6
2018-05-04,2018-05-05,2018-05-04,ch,137.6
2018-01-19,2018-01-20,2018-01-13,ch,137.6
2018-04-14,2018-04-15,2018-04-14,nl,137.6
2018-03-02,2018-03-03,2018-03-01,ch,137.6
2018-04-14,2018-04-15,2018-04-11,nl,137.6
2018-01-26,2018-01-27,2018-01-14,ch,137.6
2018-04-14,2018-04-15,2018-04-14,ch,137.6
2018-05-06,2018-05-07,2018-05-06,gb,137.6
2018-05-17,2018-05-18,2018-05-13,ch,137.6
2018-05-06,2018-05-07,2018-05-04,ch,137.6
2018-02-23,2018-02-24,2018-02-23,ch,137.6
2018-01-27,2018-01-28,2018-01-25,ch,137.6
2018-05-19,2018-05-20,2018-05-11,de,137.6
2018-03-02,2018-03-03,2018-03-02,es,137.6
2018-01-27,2018-01-28,2018-01-21,ch,137.6
2018-04-21,2018-04-22,2018-01-02,sg,137.8
2018-04-20,2018-04-21,2018-04-15,ch,137.9
2018-11-11,2018-11-12,2018-08-23,gf,138
2018-07-21,2018-07-22,2018-02-05,hu,138
2018-03-28,2018-03-29,2018-03-26,ch,138.3
2018-12-03,2018-12-04,2018-11-24,ch,138.3
2018-01-31,2018-02-01,2018-01-10,de,138.3
2018-04-20,2018-04-21,2018-04-20,ch,138.3
2018-05-16,2018-05-17,2018-05-07,ch,138.3
2018-11-21,2018-11-22,2018-11-01,de,138.3
2018-04-16,2018-04-17,2018-04-16,ch,138.3
2018-03-23,2018-03-24,2018-03-23,ch,138.3
2018-01-25,2018-01-26,2018-01-16,ch,138.3
2018-08-11,2018-08-12,2018-08-10,ca,138.3
2018-11-28,2018-11-29,2018-05-03,gf,138.3
2018-03-19,2018-03-20,2018-03-18,ch,138.3
2018-04-16,2018-04-17,2018-04-16,ch,138.3
2018-01-16,2018-01-17,2018-01-16,de,138.3
2018-08-16,2018-08-17,2018-08-14,de,138.3
2018-01-10,2018-01-11,2017-12-27,de,138.3
2018-07-16,2018-07-17,2018-07-08,ar,138.3
2018-01-02,2018-01-03,2017-11-29,ch,138.3
2018-04-17,2018-04-18,2018-04-16,ch,138.3
2018-11-16,2018-11-17,2018-08-15,null,138.3
2018-02-15,2018-02-16,2018-02-13,ch,138.3
2018-01-16,2018-01-17,2018-01-16,ch,138.3
2018-04-10,2018-04-11,2018-03-29,gb,138.3
2018-06-15,2018-06-16,2018-06-14,ch,138.3
2018-10-08,2018-10-09,2018-09-25,gb,138.3
2018-08-16,2018-08-17,2018-08-14,ch,138.3
2018-02-19,2018-02-20,2018-01-30,cn,138.4
2018-04-01,2018-04-02,2018-03-10,cn,138.4
2018-01-16,2018-01-17,2018-01-16,de,138.5
2018-02-14,2018-02-15,2018-02-07,de,138.5
2018-03-10,2018-03-11,2018-03-09,ch,138.6
2017-12-26,2017-12-27,2017-12-01,fr,138.6
2018-01-20,2018-01-21,2018-01-16,ch,138.6
2017-12-16,2017-12-17,2017-12-11,ch,138.6
2018-01-01,2018-01-02,2017-12-30,es,138.6
2018-01-04,2018-01-05,2018-01-03,ch,138.6
2018-02-24,2018-02-25,2018-02-18,de,138.6
2017-12-16,2017-12-17,2017-11-28,de,138.6
2018-01-02,2018-01-03,2017-11-29,mx,138.6
2018-03-10,2018-03-11,2018-03-10,fr,138.6
2018-05-13,2018-05-14,2018-05-06,ch,138.6
2018-02-02,2018-02-03,2018-02-02,cz,138.6
2018-06-03,2018-06-04,2018-06-02,ch,138.6
2018-01-02,2018-01-03,2017-11-29,mx,138.6
2018-12-17,2018-12-18,2018-12-13,ch,138.6
2018-02-22,2018-02-23,2018-02-22,ch,138.6
2018-04-07,2018-04-08,2018-03-25,ch,138.6
2018-12-07,2018-12-08,2018-10-28,es,138.6
2018-01-05,2018-01-06,2017-12-19,jp,138.6
2018-12-17,2018-12-18,2018-12-12,kr,138.6
2018-03-03,2018-03-04,2018-03-03,fr,138.6
2018-03-10,2018-03-11,2018-03-07,be,138.6
2018-02-24,2018-02-25,2018-02-18,it,138.6
2018-02-23,2018-02-24,2018-02-22,fr,138.6
2018-01-01,2018-01-02,2017-12-30,es,138.6
2018-08-19,2018-08-20,2018-06-15,sg,138.6
2018-01-01,2018-01-02,2017-12-31,hk,138.6
2018-12-27,2018-12-28,2018-12-09,fr,138.6
2018-01-22,2018-01-23,2018-01-22,ch,138.6
2018-02-03,2018-02-04,2018-01-30,ch,138.6
2018-04-08,2018-04-09,2018-03-24,th,138.6
2018-03-09,2018-03-10,2018-03-06,ch,138.6
2018-01-01,2018-01-02,2017-12-17,jp,138.6
